Date,Author,Site Name,Site Url,Price,Shipping Cost,Shipping Code,Shipping Type,Shipping Url,Store PickUp,Store PickUp url,Return,Exchange,Return/Exchange Url,Delivery Time,Price match,Price Gurantee,Price March/Guarantee Url,Coupon Code,Coupon code Url,Printable Coupon,Printable Coupon Url,SignUp Reward,SignUp Reward Url,Referral,Referral Url,CashBack,CashBack Url,Weekly Ad,Weekly Ad Url,Today Ad,Today Ad Url,MemberShip,MemberShip Url,Credit Card Member,Credit Card Member Url,Student Discount,Student Discount Url,Youth Discount,Youth Discount Url,Military Discount,Military Discount Url,Worker Discount,Worker Discount Url,App Download,App Download Url,New Arrivals,New Arrivals Url,Clearance,Clearance Url,Sale,Sale Url,Deal,Deal Url,BOGO,BOGO url,Gift Product,Gift Product Url,Gift Card/Voucher,Gift Card/Voucher Url,,,Gift card/voucher,Gift card/voucher Url,pre-order/back order (not related),pre-order/back order url,Rewards (no need),Reward Url,Military discount,Military discount url,youth discount,youth discount url,worker Discount,worker Discount url
13/5/2022,usama,Rebecca Minkoff,https://www.rebeccaminkoff.com/,,free,,Standard,https://www.rebeccaminkoff.com/pages/shipping,no,,30 days,no,https://www.rebeccaminkoff.com,5 business days,no,no,,no,,no,,15% off,https://www.rebeccaminkoff.com,"Give $25, Get $25 on first order",https://www.rebeccaminkoff.com/pages/refer,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.rebeccaminkoff.com/collections/new-arrivals,no,,yes,https://www.rebeccaminkoff.com/collections/sale,no,,no,,yes,https://www.rebeccaminkoff.com/collections/25-under,yes,https://www.rebeccaminkoff.com/products/gift-card,,,yes,https://www.rebeccaminkoff.com/products/gift-card,,,,,,,,,,
2/2/2022,farhan,T.M.Lewin,https://www.tmlewin.com/,,19.89,,Standard,https://www.tmlewin.com/delivery-information,no,,90 days,no,,,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,10% off,https://www.myunidays.com/GB/en-GB/partners/tmlewin/micro/online,no,,no,,yes,https://secure.gocertify.me/at/tm-lewin/healthcare,no,,yes,https://www.tmlewin.com/new-in,no,,yes,https://www.tmlewin.com/mens/sale,no,,yes,https://www.tmlewin.com/offers-and-promotions,yes,https://www.tmlewin.com/gifting,no,,,,,,,,,,,,,,,
13/5/2022,usama,Lunab,https://www.shoplunab.com/,,free,,Standard,https://www.shoplunab.com/pages/shipping,yes,https://www.shoplunab.com/pages/shipping,21 days except final sale,21 days,https://www.shoplunab.com/pages/return-policy,7-9 business days,no,no,,no,,no,,10% your first order,https://www.shoplunab.com,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.shoplunab.com/collections/new-arrivals,no,,yes,https://www.shoplunab.com/collections/shop-all-sale,no,,no,,yes,https://www.shoplunab.com/collections/home-gifts,yes,https://www.shoplunab.com/products/rise-ai-giftcard,,,yes,https://www.shoplunab.com/products/rise-ai-giftcard,,,,,,,,,,
14/5/2022,usama,Sierra,https://www.sierra.com/,above 89/under 89,free/9.99,Ship 89,Standard,https://www.sierra.com/lp2/shipping-policy/#usshippingrates/?osid=footer-_-shipping-_-031621,yes,https://www.sierra.com/lp2/in-store-pickup/,40 days,60 days,https://www.sierra.com/lp2/return-policy/?osid=footer-_-return-policy-_-032719,5-10 days,no,no,,no,,no,,yes,https://www.sierra.com,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.sierra.com/newproducts~14/?overrideSort=newest,yes,https://www.sierra.com/women~d~5324/clearance~1/,no,,no,,no,,yes,https://www.sierra.com/lp2/gifting/,yes,https://www.sierra.com/giftcard/?osid=footer-_-gift-cards-_-101315,,,yes,https://www.sierra.com/giftcard/?osid=lp-giftcards-100721,,,,,,,,,,
14/5/2022,usama,Shopbop,https://www.shopbop.com/,,free,,Express,https://www.shopbop.com/ci/aboutShopBop/customerservice.html#,no,,30 days,no,https://www.shopbop.com/ci/aboutshopbop/customerservice.html,1-3 days,yes,no,https://www.shopbop.com/ci/aboutshopbop/customerservice.html,no,,no,,15% off your first purchase,https://www.shopbop.com,no,,no,,yes,https://www.shopbop.com/whats-new/br/v=1/13198.htm,yes,https://www.shopbop.com/new-today/br/v=1/50579.htm,yes,https://www.shopbop.com/ci/4/lp/Loyalty.html?pf_rd_p=96bda947-038a-4c2d-b737-6d530ddb2460&pf_rd_r=M3QAVHNH8RT3AZREGSRD&ref_=SB_ALL_M1_CustomerBenefit_Loyalty_NonLoyaltyNonPrime,no,,no,,no,,no,,no,,15% off first app order,https://www.shopbop.com/ci/apps.html?pf_rd_p=96bda947-038a-4c2d-b737-6d530ddb2460&pf_rd_r=M3QAVHNH8RT3AZREGSRD&ref_=SB_ALL_M1_CustomerBenefit_AppSignUp_NonLoyaltyNonPrime,yes,https://www.shopbop.com/whats-new/br/v=1/13198.htm,no,,yes,https://www.shopbop.com/sale/br/v=1/13594.htm,no,,no,,yes,https://www.shopbop.com/gifts/br/v=1/13885.htm,,,,,yes,"https://www.shopbop.com/s/giftcertificate#cs=ov=175711338570,os=18,link=footerSvcsGiftCertificates",,,,,,,,,,
14/5/2022,usama,Ashbury Skies,https://www.ashburyskies.com/,,free,,Standard,https://www.shopsuggies.com/pages/returns-exchanges,no,,30 days,free exchange,https://www.shopsuggies.com/pages/returns-exchanges,2-4 days,no,no,,no,,no,,10% off,https://www.shopsuggies.com/,no,,no,,no,,no,,10%,https://www.shopsuggies.com,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.shopsuggies.com/products/sustainable-gift-wrap?_pos=1&_sid=4c58590fd&_ss=r,yes,https://www.shopsuggies.com/products/suggies-gift-card,,,yes,https://www.shopsuggies.com/products/suggies-gift-card,,,,,,,,,,
14/5/2022,usama,Parlour X,https://www.parlourx.com/,,50,,DHL Express,https://www.parlourx.com/pages/delivery,no,,10 days except Final sale,10 days,https://www.parlourx.com/pages/returns-policy,3-5 working days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.parlourx.com/collections/new,no,,yes,https://www.parlourx.com/collections/sale-1,no,,no,,yes,https://www.parlourx.com/collections/gifting,yes,https://www.parlourx.com/collections/gifting/products/rise-ai-giftcard,,,yes,https://www.parlourx.com/collections/gifting/products/rise-ai-giftcard,,,,,,,,,,
14/5/2022,usama,Carhartt,https://www.carhartt.com/,,free,,Standard,https://www.carhartt.com/shipping-and-returns,yes,https://www.carhartt.com/curbside,80 days,no,https://www.carhartt.com/shipping-and-returns,,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.carhartt.com/discount-program,no,,no,,yes,https://www.carhartt.com/c/collections-new,no,,yes,https://www.carhartt.com/c/sale,no,,no,,yes,https://www.carhartt.com/c/gift-guides,yes,https://www.carhartt.com/carhartt-gift-cards,,,yes,https://www.carhartt.com/carhartt-gift-cards?icid=hp-holiday2-content-giftcards-20211130-allvisitors-14275,,,,,,,,,,
14/5/2022,usama,Shiekh,https://www.shiekh.com/,above 75/under 75,free/9.19,,Standard,https://www.shiekh.com/about/shipping-info,yes,https://www.shiekh.com/promotion/in-store-pick-up.html,30 days($3 restocking fee deducted refunds),$7.95 ,https://www.shiekh.com/about/return-policy,2-5 days,yes,yes,https://www.shiekh.com/about/100-price-guarantee,"35%/EXTRA35(sales),10%/SALE10 20%/WINTER(Sale), 15%/SPRING15(new arrivals)",https://www.shiekh.com,NO,,no,,Earn $20,https://www.shiekh.com/referral,no,,no,,no,,no,,no,,15% on shoes,https://www.shiekh.com/student-discount,no,,no,,no,,yes,https://www.shiekh.com/app/,yes,https://www.shiekh.com/new-arrivals.html,no,,yes,https://www.shiekh.com/sale/all-sale-items.html,no,,yes,https://www.shiekh.com/promotion/bogo.html,no,,yes,https://www.shiekh.com/gift-card.html,,,yes,https://www.shiekh.com/gift-card.html,,,,,,,,,,
14/5/2022,usama,EMS,https://www.ems.com/,,7.99,,Standard,https://www.ems.com/delivery-information,yes,https://www.ems.com/product-information,28 days,free exchange,https://www.ems.com/return-policy,3-7 days,no,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,https://www.ems.com/outlet,yes,https://www.ems.com/sale/mens-sale/,yes,https://www.ems.com/deals,no,,yes,https://www.ems.com/gift-center/,yes,https://www.ems.com/gift-cards,,,yes,https://www.ems.com/gift-cards,,,,,,,,,,
